file_path,filename,title,creator,era,match_source
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\158 - Tales From the New Republic.epub,158 - Tales From the New Republic.epub,Book 5 - Tales From the New Republic,Peter Schweighofer,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\159 - Luke Skywalker and the Shadows of Mindor.epub,159 - Luke Skywalker and the Shadows of Mindor.epub,Book 1 - Shadows of Mindor,Matthew Stover,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\160 - Jedi Prince_The Glove of Darth Vader.epub,160 - Jedi Prince_The Glove of Darth Vader.epub,Book 1 - The Glove of Darth Vader,Paul Davids,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\161 - Jedi Prince_The Lost City of the Jedi.epub,161 - Jedi Prince_The Lost City of the Jedi.epub,Book 2 - The Lost City of the Jedi,Paul Davids,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\162 - Jedi Prince_Zorba the Hutt's Revenge.epub,162 - Jedi Prince_Zorba the Hutt's Revenge.epub,Book 3 - Zorba the Hutt's Revenge,Paul Davids,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\163 - Jedi Prince_Mission From Mount Yoda.epub,163 - Jedi Prince_Mission From Mount Yoda.epub,Book 4 - Mission From Mount Yoda,Paul Davids,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\164 - Jedi Prince_Queen of the Empire.epub,164 - Jedi Prince_Queen of the Empire.epub,Book 5 - Queen of the Empire,Paul Davids,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\165 - Jedi Prince_Prophets of the Dark Side.epub,165 - Jedi Prince_Prophets of the Dark Side.epub,Book 6 - Prophets of the Dark Side,Paul Davids,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\166 - Dark Forces_Rebel Agent.epub,166 - Dark Forces_Rebel Agent.epub,Star Wars: Dark Forces: Rebel Agent Gsa: Dark Forces: Rebel Agent Gsa,William C. Dietz,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\167 - Dark Forces_ Jedi Knight.epub,167 - Dark Forces_ Jedi Knight.epub,Star Wars: Dark Forces: Jedi Knight,William C Dietz,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\168 - X-Wing_Rogue Squadron.epub,168 - X-Wing_Rogue Squadron.epub,Book 01 - Rogue Squadron,Michael A. Stackpole,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\169 - X-Wing_Wedge's Gamble.epub,169 - X-Wing_Wedge's Gamble.epub,Book 02 - Wedge's Gamble,Michael A. Stackpole,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\170 - X-Wing_The Krytos Trap.epub,170 - X-Wing_The Krytos Trap.epub,Book 03 - The Krytos Trap,Michael A. Stackpole,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\171 - X-Wing_The Bacta War.epub,171 - X-Wing_The Bacta War.epub,Book 04 - The Bacta War,Michael A. Stackpole,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\172 - X-Wing_Wraith Squadron.epub,172 - X-Wing_Wraith Squadron.epub,Book 05 - Wraith Squadron,Aaron Allston,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\173 - X-Wing_Iron Fist.epub,173 - X-Wing_Iron Fist.epub,Book 06 - Iron Fist,Aaron Allston,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\174 - X-Wing_Solo Command.epub,174 - X-Wing_Solo Command.epub,Book 07 - Solo Command,Aaron Allston,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\175 - The Courtship of Princess Leia.epub,175 - The Courtship of Princess Leia.epub,Book 1 - The Courtship of Princess Leia,Dave Wolverton,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\176 - A Forest Apart.epub,176 - A Forest Apart.epub,Book 1 - A Forest Apart,Troy Denning,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\177 - Tatooine Ghost.epub,177 - Tatooine Ghost.epub,Book 1 - Tatooine Ghost,Troy Denning,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\178 - Thrawn_Heir to the Empire.epub,178 - Thrawn_Heir to the Empire.epub,Book 1 - Heir to the Empire,Timothy Zahn,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\179 - Thrawn_Dark Force Rising.epub,179 - Thrawn_Dark Force Rising.epub,Book 2 - Dark Force Rising,Timothy Zahn,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\180 - Thrawn_The Last Command.epub,180 - Thrawn_The Last Command.epub,Book 3 - The Last Command,Timothy Zahn,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\181 - X-Wing_Isard's Revenge.epub,181 - X-Wing_Isard's Revenge.epub,Book 08 - Isard's Revenge,Michael A. Stackpole,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\182 - The Jedi Academy_Jedi Search.epub,182 - The Jedi Academy_Jedi Search.epub,Book 1 - Jedi Search,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\183 - The Jedi Academy_Dark Apprentice.epub,183 - The Jedi Academy_Dark Apprentice.epub,Book 2 - Dark Apprentice,Kevin J. Anderson,,unmatched
